# target|version|size|url|name
Heltec_Wireless_Tracker_companion_radio_ble|companion-v1.0.2|1221328|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/Heltec_Wireless_Tracker_companion_radio_ble-nl-v1.0.2-bff9ec9.bin|Heltec_Wireless_Tracker_companion_radio_ble-nl-v1.0.2-bff9ec9.bin
Heltec_Wireless_Tracker_companion_radio_usb|companion-v1.0.2|613392|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/Heltec_Wireless_Tracker_companion_radio_usb-nl-v1.0.2-bff9ec9.bin|Heltec_Wireless_Tracker_companion_radio_usb-nl-v1.0.2-bff9ec9.bin
Heltec_Wireless_Tracker_repeater|repeater-v1.0.2|1288912|https://github.com/MichTronics/MeshCoreNG/releases/download/repeater-v1.0.2/Heltec_Wireless_Tracker_repeater-nl-v1.0.2-bff9ec9.bin|Heltec_Wireless_Tracker_repeater-nl-v1.0.2-bff9ec9.bin
Heltec_Wireless_Tracker_repeater_bridge_espnow|bridge-espnow-v1.0.1|1299184|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-espnow-v1.0.1/Heltec_Wireless_Tracker_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin|Heltec_Wireless_Tracker_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin
Heltec_Wireless_Tracker_repeater_bridge_tcp|bridge-tcp-v1.0.7|1293728|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-tcp-v1.0.7/Heltec_Wireless_Tracker_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin|Heltec_Wireless_Tracker_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin
Heltec_Wireless_Tracker_room_server|room-server-v1.0.2|1277312|https://github.com/MichTronics/MeshCoreNG/releases/download/room-server-v1.0.2/Heltec_Wireless_Tracker_room_server-nl-v1.0.2-bff9ec9.bin|Heltec_Wireless_Tracker_room_server-nl-v1.0.2-bff9ec9.bin
Heltec_WSL3_companion_radio_ble|companion-v1.0.2|1248096|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/Heltec_WSL3_companion_radio_ble-nl-v1.0.2-bff9ec9.bin|Heltec_WSL3_companion_radio_ble-nl-v1.0.2-bff9ec9.bin
Heltec_WSL3_companion_radio_usb|companion-v1.0.2|614960|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/Heltec_WSL3_companion_radio_usb-nl-v1.0.2-bff9ec9.bin|Heltec_WSL3_companion_radio_usb-nl-v1.0.2-bff9ec9.bin
Heltec_WSL3_repeater|repeater-v1.0.2|1319792|https://github.com/MichTronics/MeshCoreNG/releases/download/repeater-v1.0.2/Heltec_WSL3_repeater-nl-v1.0.2-bff9ec9.bin|Heltec_WSL3_repeater-nl-v1.0.2-bff9ec9.bin
Heltec_WSL3_repeater_bridge_espnow|bridge-espnow-v1.0.1|1330224|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-espnow-v1.0.1/Heltec_WSL3_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin|Heltec_WSL3_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin
Heltec_WSL3_repeater_bridge_rs232|bridge-rs232-v1.0.2|1322096|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-rs232-v1.0.2/Heltec_WSL3_repeater_bridge_rs232-nl-v1.0.2-bff9ec9.bin|Heltec_WSL3_repeater_bridge_rs232-nl-v1.0.2-bff9ec9.bin
Heltec_WSL3_repeater_bridge_tcp|bridge-tcp-v1.0.7|1324800|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-tcp-v1.0.7/Heltec_WSL3_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin|Heltec_WSL3_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin
Heltec_WSL3_room_server|room-server-v1.0.2|1308064|https://github.com/MichTronics/MeshCoreNG/releases/download/room-server-v1.0.2/Heltec_WSL3_room_server-nl-v1.0.2-bff9ec9.bin|Heltec_WSL3_room_server-nl-v1.0.2-bff9ec9.bin
LilyGo_T3S3_sx1262_companion_radio_ble|companion-v1.0.2|1200896|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/LilyGo_T3S3_sx1262_companion_radio_ble-nl-v1.0.2-bff9ec9.bin|LilyGo_T3S3_sx1262_companion_radio_ble-nl-v1.0.2-bff9ec9.bin
LilyGo_T3S3_sx1262_companion_radio_usb|companion-v1.0.2|569056|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/LilyGo_T3S3_sx1262_companion_radio_usb-nl-v1.0.2-bff9ec9.bin|LilyGo_T3S3_sx1262_companion_radio_usb-nl-v1.0.2-bff9ec9.bin
LilyGo_T3S3_sx1262_repeater|repeater-v1.0.2|1267984|https://github.com/MichTronics/MeshCoreNG/releases/download/repeater-v1.0.2/LilyGo_T3S3_sx1262_repeater-nl-v1.0.2-bff9ec9.bin|LilyGo_T3S3_sx1262_repeater-nl-v1.0.2-bff9ec9.bin
LilyGo_T3S3_sx1262_repeater_bridge_espnow|bridge-espnow-v1.0.1|1278336|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-espnow-v1.0.1/LilyGo_T3S3_sx1262_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin|LilyGo_T3S3_sx1262_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin
LilyGo_T3S3_sx1262_repeater_bridge_tcp|bridge-tcp-v1.0.7|1273024|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-tcp-v1.0.7/LilyGo_T3S3_sx1262_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin|LilyGo_T3S3_sx1262_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin
